13.11.2024 11:10:04
    class_weight  fit_intercept            C  accuracy    recall
55          None          False     0.000008  0.668135  0.220978
56          None          False     0.000013  0.669042  0.234018
57          None          False     0.000019  0.669694  0.243354
58          None          False     0.000029  0.670735  0.248588
59          None          False     0.000045  0.674512  0.260545
60          None          False     0.000069  0.676205  0.269119
61          None          False     0.000105  0.678939  0.278463
62          None          False     0.000160  0.680107  0.289658
63          None          False     0.000244  0.679326  0.298260
64          None          False     0.000373  0.679186  0.307177
65          None          False     0.000569  0.679834  0.315374
66          None          False     0.000869  0.680878  0.322474
67          None          False     0.001326  0.680878  0.329196
68          None          False     0.002024  0.681400  0.334794
69          None          False     0.003089  0.680744  0.334396
70          None          False     0.004715  0.681783  0.337002
71          None          False     0.007197  0.682827  0.340748
72          None          False     0.010985  0.682961  0.340007
73          None          False     0.016768  0.683221  0.342998
74          None          False     0.025595  0.683093  0.344116
75          None          False     0.039069  0.683617  0.344493
76          None          False     0.059636  0.684005  0.345597
77          None          False     0.091030  0.684264  0.345961
78          None          False     0.138950  0.684264  0.346702
79          None          False     0.212095  0.684135  0.345961
80          None          False     0.323746  0.683873  0.345584
81          None          False     0.494171  0.683743  0.345584
82          None          False     0.754312  0.683743  0.346324
83          None          False     1.151395  0.683743  0.346324
84          None          False     1.757511  0.683743  0.346324
85          None          False     2.682696  0.683613  0.346324
86          None          False     4.094915  0.683613  0.346324
87          None          False     6.250552  0.683613  0.346702
88          None          False     9.540955  0.683613  0.346324
89          None          False    14.563485  0.683613  0.346324
90          None          False    22.229965  0.683613  0.346324
91          None          False    33.932218  0.683613  0.346324
92          None          False    51.794747  0.683613  0.346324
93          None          False    79.060432  0.683613  0.346324
94          None          False   120.679264  0.683743  0.346324
95          None          False   184.206997  0.683613  0.346324
96          None          False   281.176870  0.683613  0.346324
97          None          False   429.193426  0.683613  0.346324
98          None          False   655.128557  0.683613  0.346324
99          None          False  1000.000000  0.683613  0.346324
100     balanced           True     0.000001  0.532170  0.837750
101     balanced           True     0.000002  0.565898  0.797442
102     balanced           True     0.000002  0.582951  0.758232
103     balanced           True     0.000004  0.599891  0.739979
104     balanced           True     0.000005  0.610049  0.724696
105     balanced           True     0.000008  0.618375  0.714214
106     balanced           True     0.000013  0.621502  0.704913
107     balanced           True     0.000019  0.624235  0.699315
108     balanced           True     0.000029  0.625666  0.694507
109     balanced           True     0.000045  0.627626  0.694130
110     balanced           True     0.000069  0.633754  0.696737
111     balanced           True     0.000105  0.635446  0.695975
112     balanced           True     0.000160  0.637012  0.694514
113     balanced           True     0.000244  0.636752  0.694535
114     balanced           True     0.000373  0.639232  0.695318
115     balanced           True     0.000569  0.644050  0.698288
116     balanced           True     0.000869  0.649256  0.700531
117     balanced           True     0.001326  0.654854  0.700908
118     balanced           True     0.002024  0.660456  0.704291
119     balanced           True     0.003089  0.670478  0.709518
120     balanced           True     0.004715  0.681152  0.715094
121     balanced           True     0.007197  0.691569  0.723277
122     balanced           True     0.010985  0.706283  0.728155
123     balanced           True     0.016768  0.725417  0.730007
124     balanced           True     0.025595  0.735960  0.729595
125     balanced           True     0.039069  0.745211  0.734444
126     balanced           True     0.059636  0.747285  0.727352
127     balanced           True     0.091030  0.751323  0.726618
128     balanced           True     0.138950  0.753017  0.723613
129     balanced           True     0.212095  0.754579  0.722893
130     balanced           True     0.323746  0.754577  0.721391
131     balanced           True     0.494171  0.753794  0.718022
132     balanced           True     0.754312  0.753271  0.717638
133     balanced           True     1.151395  0.753139  0.717624
134     balanced           True     1.757511  0.752619  0.716513
135     balanced           True     2.682696  0.752748  0.716143
136     balanced           True     4.094915  0.752358  0.715395
137     balanced           True     6.250552  0.752487  0.715765
138     balanced           True     9.540955  0.752227  0.715024
139     balanced           True    14.563485  0.752097  0.714647
140     balanced           True    22.229965  0.752487  0.715024
141     balanced           True    33.932218  0.752227  0.715024
142     balanced           True    51.794747  0.752097  0.714647
143     balanced           True    79.060432  0.752097  0.715024
144     balanced           True   120.679264  0.752227  0.715024
145     balanced           True   184.206997  0.752097  0.715024
146     balanced           True   281.176870  0.752097  0.715024
147     balanced           True   429.193426  0.752227  0.715024
148     balanced           True   655.128557  0.752227  0.715024
149     balanced           True  1000.000000  0.752227  0.715024
150     balanced          False     0.000001  0.532170  0.837750
151     balanced          False     0.000002  0.565898  0.797442
152     balanced          False     0.000002  0.582821  0.758232
153     balanced          False     0.000004  0.599891  0.739979
154     balanced          False     0.000005  0.610179  0.725066
155     balanced          False     0.000008  0.618375  0.714214
156     balanced          False     0.000013  0.621764  0.705660
157     balanced          False     0.000019  0.624104  0.699315
158     balanced          False     0.000029  0.625146  0.693396
159     balanced          False     0.000045  0.627496  0.693760
160     balanced          False     0.000069  0.633102  0.696366
161     balanced          False     0.000105  0.633622  0.694486
162     balanced          False     0.000160  0.633886  0.693396
163     balanced          False     0.000244  0.635450  0.696408
164     balanced          False     0.000373  0.636363  0.695681
165     balanced          False     0.000569  0.638319  0.697547
166     balanced          False     0.000869  0.640141  0.699043
167     balanced          False     0.001326  0.640660  0.699790
168     balanced          False     0.002024  0.640657  0.700517
169     balanced          False     0.003089  0.641176  0.702006
170     balanced          False     0.004715  0.642086  0.704612
171     balanced          False     0.007197  0.643387  0.706471
172     balanced          False     0.010985  0.643393  0.707219
173     balanced          False     0.016768  0.643648  0.705339
174     balanced          False     0.025595  0.644557  0.706450
175     balanced          False     0.039069  0.645988  0.707205
176     balanced          False     0.059636  0.646118  0.706457
177     balanced          False     0.091030  0.646769  0.706080
178     balanced          False     0.138950  0.646770  0.706087
179     balanced          False     0.212095  0.646770  0.706094
180     balanced          False     0.323746  0.646902  0.706848
181     balanced          False     0.494171  0.647032  0.706848
182     balanced          False     0.754312  0.646901  0.706848
183     balanced          False     1.151395  0.646640  0.706094
184     balanced          False     1.757511  0.646640  0.706094
185     balanced          False     2.682696  0.646640  0.706094
186     balanced          False     4.094915  0.646640  0.706094
187     balanced          False     6.250552  0.646640  0.706094
188     balanced          False     9.540955  0.646640  0.706094
189     balanced          False    14.563485  0.646640  0.706094
190     balanced          False    22.229965  0.646640  0.706094
191     balanced          False    33.932218  0.646640  0.706094
192     balanced          False    51.794747  0.646509  0.705716
193     balanced          False    79.060432  0.646509  0.705716
194     balanced          False   120.679264  0.646640  0.706094
195     balanced          False   184.206997  0.646640  0.706094
196     balanced          False   281.176870  0.646640  0.706094
197     balanced          False   429.193426  0.646640  0.706094
198     balanced          False   655.128557  0.646640  0.706094
199     balanced          False  1000.000000  0.646509  0.705716
